Compound,Tc
Sr0.33La0.67Mn1O3,364.5
SmCo5,996.5
US31804N,748.0
Cr2FeS4,174.5
Sm2Co17,1170.0
BaFe12O19,735.0
CaFe12O19,718.0
LaFe12O19,670.0
Ca0.5La0.5Mn1O3,220.0
Ca0.5La0.4Y0.1Mn1O3,130.0
Sr0.35Eu0.65Mn0.1Fe0.9O3,150.0
NdFe2,538.0
PrFe2,544.0
CeFe2,230.0
LaFe2,230.0
EuCdAu,22.0
EuZnAg,29.0
Fe1.25Co2Ge0.75,1135.0
Ba0.2Sr0.2La0.6Mn1O3,354.0
MnAs,318.0
Mn2SnO,53.0
Mn3O4,44.25
Gd2Ga3Fe14,601.0
Gd2Fe17,516.0
FeCo,1253.0
ZnCoO,320.0
Al1Co1.28Ni1.17,272.0
MnGaNi2,362.5
Ca0.33La0.67Mn1O3,266.5
CeFeMoO6,300.0
Fe2As,251.0
Mn2As,450.0
ZrCo2Sn,450.15
Dy6Te2Ru,64.0
Dy6CoTe2,125.0
Dy6FeTe2,82.0
Dy2Te,161.3
Fe79Cu(BMo)10,273.0
Fe3O4,847.5
Ce2Fe17N3,700.0
MnNiSb,729.0
NiH2(CN2)2,30.0
CoH2(CN2)2,10.0
EuZnAu,51.9
EuZnPt,21.2
CeY2Ni9,92.0
LaY2Ni9,15.0
HoTiFe11,523.0
HoNi2,19.0
TaFeCoBO,500.0
FeBiO3,1104.5
Pr0.5Zn0.5Fe1.95Ni0.5O4,536.0
Cr2CdSe4,129.75
Cr2CdS4,84.75
Cr2NO2,566.0
Cr2S3,275.0
Fe3GeTe2,235.0
Cr3Te4,333.5
VCr2(CF)2,696.0
VCr2H2(CO)2,618.0
Fe78Si9B13,683.0
Mn3ZnC,379.35
GdGa,200.0
CrGeTe3,48.6
CrI3,55.0
NbCrFeB,317.0
Sm0.9Zr0.1Ti0.7Fe9.04Co2.26,900.0
Cr2NiO4,73.0
Sr2FeMoO6,421.0
Mn3SnC,273.7
Fe3Si,833.0
Mn5Ge3,299.0
YCo4Si,320.0
YCo5,924.0
Fe4N,761.0
Fe2CoNiO4,800.0
Mn3GaC,249.0
Ce17ZrFe77B6,420.5
Ce17HfFe77B6,409.0
Cr2CuS4,390.0
TmAlCo,6.0
AlCrRu2,221.0
Mn1.05Fe0.9Si0.5Cu0.1B0.03P0.47,310.0
Fe5SiB2,784.0
Fe5Si0.75Ge0.25B2,793.0
Ba3Fe24Co2O41,682.5
FeCo2Si,1015.0
CeTiFe11,765.0
Yb(MnSn)6,276.0
AlFe3,770.0
Lu2Fe13.6Si3.4,480.0
U2Fe13.6Si3.4,530.0
Cr2GaCo,660.0
Sm5Fe17,483.0
Sr0.1Ca0.2La0.7Mn1O3,309.0
TmCo2,3.9
TiCoSn,463.0
Ho12Co7,30.0
Dy12Co7,64.0
Tb12Co7,100.0
Gd12Co7,164.0
Gd2MoO4,432.0
PrAlPt,5.8
Al28(Co13Ni11)3,380.0
MnNi(BiO3)2,140.0
DyCo2,136.0
U(AlFe)6,327.5
La(MnSi)2,305.0
Mn27Al23,653.0
Mn25Al23Ni2,421.0
Nd2Fe14B,594.0
Zn0.5Fe2Cu0.5O4,423.0
La1Fe11.7Si1.3N1.3,230.0
La1Fe11.7Si1.3,195.0
Fe12Co13,1213.0
Al1.5Cr1Fe1Cu1Ni2,1000.0
CrFeCuNi2,400.0
MnCoGe,345.0
La(FeSi)13,194.0
GdEr,283.0
Ti0.75Fe0.25O4,323.0
Sr2CrIrO6,881.0
Sr2CrOsO6,720.0
Gd1Ti0.2Fe1.8,750.0
GdFe2,795.0
Cr2CuSe4,425.0
Sm12Al5Fe14,245.0
Ce1In1Ni1H1.8,6.8
GdNi3,115.0
Fe2CoO4,792.5
La1Fe13.9Si1.4,200.0
Zr6Co23,453.0
Mn0.3Zn0.4Fe1.7Co0.6O4,596.0
Y2Fe17,317.25
Lu2Co15Si2,854.0
Y1Co4.5Ge0.5,778.0
Ca0.1La0.7Mn1Pb0.2O3,300.0
EuO,73.5
Cr3(Fe10C3)2,963.8
Cr3Fe4C3,796.2
Fe2C,525.0
Er4MgPd,16.0
Ho4MgPt,28.0
Sr0.05Ca0.35La0.6Mn1O3,290.0
Ho0.05Zn0.8Fe1.95Co0.2O4,188.0
GaFeCo2,1050.0
Tm3CoNi,6.7
CoSi7,609.0
MnSi7,386.0
PrFeCo2,580.0
PrCo3,350.0
Er2Fe17,294.0
Ba2FeMoO6,332.0
Mn0.5Zn0.5Fe2O4,393.0
Sr0.2Pr0.8Mn1O3,130.0
Fe3B,793.0
Gd6YPd3,115.0
Gd7Pd3,226.5
Sr2CrWO6,450.0
MnBi,631.5
TiCrFeCuNi,50.0
La3NiGe2,6.0
