Compound,Tc
Sr0.33La0.67Mn1O3,369.5
SmCo5,1001.5
Cr2FeS4,172.0
Sm2Co17,1170.0
MnInAs,170.0
MnGaAs,162.5
BaFe12O19,733.0
CaFe12O19,718.0
LaFe12O19,670.0
Ca0.5La0.5Mn1O3,220.0
Ca0.5La0.4Y0.1Mn1O3,130.0
Sr0.35Eu0.65Mn0.1Fe0.9O3,150.0
NdFe2,558.0
PrFe2,544.0
CeFe2,231.0
LaFe2,230.0
EuCdAu,22.0
EuZnPt,20.0
EuCdAg,27.0
EuZnAg,29.0
Fe1.25Co2Ge0.75,1135.0
FeW,850.0
Ba0.2Sr0.2La0.6Mn1O3,354.0
MnAs,320.0
Mn2SnO4,49.5
Mn3O4,44.0
Gd2Ga3Fe14,601.0
Gd2Fe17,516.0
FeCo,1250.0
ZnCoO,320.0
Al1Co1.28Ni1.17,272.0
MnGaNi2,370.0
Ca0.33La0.67Mn1O3,266.0
CeFeMoO6,300.0
Fe2As,251.0
Mn2As,450.0
ZrCo2Sn,450.15
Dy6Te2Ru,64.0
Dy6CoTe2,125.0
Dy6FeTe2,82.0
Dy2Te,161.3
Fe79Cu(BMo)10,273.0
Fe3O4,851.0
Ce2Fe17N3,700.0
MnNiSb,730.0
NiH2(CN2)2,30.0
CoH2(CN2)2,10.0
EuZnAu,51.9
CeY2Ni9,92.0
LaY2Ni9,15.0
UGaPt,68.0
HoTiFe11,523.0
HoNi2,19.0
TaFeCoBO,500.0
FeBiO3,1104.5
Pr0.5Zn0.5Fe1.95Ni0.5O4,536.0
Cr2CdSe4,129.5
Cr2CdS4,84.5
Cr2NO2,566.0
Cr2S3,275.0
Fe3GeTe2,240.0
Cr3Te4,316.75
VCr2(CF)2,696.0
VCr2H2(CO)2,618.0
Fe78Si9B13,683.0
Mn3ZnC,379.35
FeNi4,823.0
GdGa,190.0
CrGeTe3,57.2
CrI3,45.0
NbCrFeB,317.0
Sm0.9Zr0.1Ti0.7Fe9.04Co2.26,900.0
Cr2NiO4,73.0
V1.15Fe1Co1Ni1,233.0
V0.85Fe1Co1Ni1,350.0
Sr2FeMoO6,426.0
Mn3SnC,273.7
Fe3Si,833.0
Mn5Ge3,298.5
YCo4Si,320.0
YCo5,924.0
Fe4N,761.0
Fe2CoNiO4,800.0
Mn3GaC,249.0
Ce17ZrFe77B6,420.5
Ce17HfFe77B6,409.0
Cr2CuS4,390.0
TmAlCo,6.0
AlCrRu2,221.0
Fe5SiB2,792.0
Ba3Fe24Co2O41,689.25
FeCo2Si,1057.5
SmN,30.0
Yb(MnSn)6,276.0
AlFe3,770.0
Lu2Fe13.6Si3.4,480.0
U2Fe13.6Si3.4,530.0
Cr2GaCo,660.0
Sm5Fe17,483.0
Sr0.1Ca0.2La0.7Mn1O3,308.0
TmCo2,3.9
TiCoSn,463.0
Ho12Co7,30.0
Dy12Co7,64.0
Tb12Co7,100.0
Gd12Co7,164.0
PrAlPt,5.8
Al28(Co13Ni11)3,380.0
MnNi(BiO3)2,140.0
DyCo2,137.0
U(AlFe)6,327.5
La(MnSi)2,305.0
MnAl,670.0
Mn27Al23,653.0
Mn25Al23Ni2,421.0
Nd2Fe14B,594.75
ThMn12,583.0
Zn0.5Fe2Cu0.5O4,423.0
La1Fe11.7Si1.3,202.5
CoNi,1123.0
Fe12Co13,1213.0
MnCoGe,347.5
GdEr,283.0
Sr2CrIrO6,881.0
Sr2CrOsO6,720.0
Gd1Ti0.2Fe1.8,750.0
GdFe2,795.0
Cr2CuSe4,425.0
Sm12Al5Fe14,245.0
Ce1In1Ni1H1.8,6.8
GdNi3,115.0
Fe2CoO4,792.5
NbCo2,300.0
La1Fe13.9Si1.4,200.0
Zr6Co23,453.0
Mn0.3Zn0.4Fe1.7Co0.6O4,596.0
Y2Fe17,317.25
Lu2Co15Si2,854.0
U2Co15Si2,601.0
Y1Co4.5Ge0.5,778.0
Ca0.1La0.7Mn1Pb0.2O3,300.0
EuO,77.0
Cr3(Fe10C3)2,963.8
Cr3Fe4C3,796.2
Fe2C,525.0
Er4MgPd,16.0
Ho4MgPt,28.0
Sr0.05Ca0.35La0.6Mn1O3,290.0
Ho0.05Zn0.8Fe1.95Co0.2O4,188.0
Tm3CoNi,6.7
CoSi7,609.0
FeSi7,105.0
PrFeCo2,580.0
PrCo3,350.0
Er2Fe17,294.0
Mn0.5Zn0.5Fe2O4,386.5
MnO,117.5
Sr0.2Pr0.8Mn1O3,130.0
Fe3B,801.5
Gd6YPd3,115.0
Gd7Pd3,226.5
Sr2CrWO6,450.0
MnBi,633.0
TiCrFeCuNi,50.0
Ce3CoGe2,6.5
Ce2CoGe3,10.0
Gd0.86Dy0.14,276.25
Gd0.44Dy0.56,228.75
CrClO,160.0
CrOF,300.0
PrFeB,565.0
CePrNdFeB,505.0
Pr1Fe0.7Co1.1B0.2,326.0
Dy0.025Zn0.5Fe1.975Ni0.5O4,521.5799999999999
ZnNi,843.0
Fe2NiO4,853.0
Mn1.1Fe0.9As0.54P0.46,287.0
CoBr3,264.0
FeI3,161.5
HoCo2,77.0
EuCu3Pd2,14.5
EuCu4Pd,24.5
EuCu5,57.0
TbCu4Pd,76.0
Ca0.3La0.1Pr0.6Mn1O3,94.0
ErFe2,590.0
Fe2Co2B,512.0
Ce2Fe14B,425.0
La0.6Ga0.4Fe1O3,350.0
Mn0.03Ga0.97N1,400.0
GdCo2,402.0
GdFe3,725.0
Sm3Ni2,110.0
SmNi,45.0
Sm3Ni,5.0
Tb6Mn23,455.0
Ba1Sc0.5Fe11.5O19,693.0
V0.03Sb1.97Te3,24.0
Cr2CoS4,235.0
Gd1Fe0.6Co0.4Si1,70.0
Pr13.7Zr0.1Fe63.5Co16.7B6,738.0
Yb1Mn6In1.2Sn4.8,129.0
Li(MnSn)6,380.0
Co2SnO4,340.0
Fe2SnO4,390.0
CeFeO2,300.0
Fe3BP,723.0
La2MnCoO6,225.5
Co4N,927.0
CuSeO3,26.0
Zn0.8Cr0.2Te1,300.0
Nd0.2Fe1Bi0.8O3,1104.0
Mn0.05Si0.95,187.5
Fe2CoSi,811.5
GdFeSi,118.0
ErAl2,13.5
DyAl2,63.5
Nd(TiFe)12,550.5
Nd(TiFe)7,463.0
Nd2Si3Pd,16.0
Nd5Al2Fe6Co6B,680.0
Sr2FeReO6,400.5
